quarantine_path	sha256	name_matches	same_hash_matches	recommended_action	canonical_target	confidence	notes
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/AGENT_INSTRUCTIONS.md	530cc4d66ff51c2e31c3cd1b9bbf9e21c65875c0eac05926750976df65f0aec5	3	1	KEEP_QUARANTINE_DUPLICATE	VLRM/AGENT_INSTRUCTIONS.md	high	Exact duplicate exists in canonical/active surface.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/ATPLT_DEBUG_DEVKIT_COMMAND_ERROR_ANALYSIS_V2.md	ba5b736837032386a8980cacb1ed5dd67a2d99532cde59b267ea6a3093e31382	0	0	REVIEW_RESTORE_REQUIRED	gov/ATPLT_DEBUG_DEVKIT_COMMAND_ERROR_ANALYSIS_V2.md	medium	No direct match found; semantic placement review required.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/DATA_RETENTION_AND_SECURE_ERASURE_POLICY.md	fa6de0d8edc81d25179ea835c7da3b0251ac19653ab64ad991b3add175c55931	2	2	KEEP_QUARANTINE_DUPLICATE	policy/DATA_RETENTION_AND_SECURE_ERASURE_POLICY.md	high	Exact duplicate exists in canonical/active surface.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/DEV_MAP.md	fdef6e4b581b6dfafe65054b4163a047221706f29ab2989f36ad8ce804a59cbf	2	2	KEEP_QUARANTINE_DUPLICATE	ARCHIVE_LRPT_MONOLITH_20260219/map/DEV_MAP.md	high	Exact duplicate exists in canonical/active surface.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/EVIDENCE_POLICY.md	336e7a71c501996a89029b57cc4e4eb725a74bf68d63a4935f03be5aaa847cf7	2	2	KEEP_QUARANTINE_DUPLICATE	policy/EVIDENCE_POLICY.md	high	Exact duplicate exists in canonical/active surface.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/GLOBAL_DEEP_PLAN_PHASE80.md	c4d59a3b43f91496db1e81b3d409c7a9da1ba087ffd8d7f637604805cec587d8	2	2	KEEP_QUARANTINE_DUPLICATE	gov/GLOBAL_DEEP_PLAN_PHASE80.md	high	Exact duplicate exists in canonical/active surface.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/INTERACTION_PROTOCOL.md	1679b2f332329f576b25782931d0b466b6ec0055dd5f4bb356a53ba9d23670ca	5	2	KEEP_QUARANTINE_DUPLICATE	protocol/INTERACTION_PROTOCOL.md	high	Exact duplicate exists in canonical/active surface.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/OS_DEV_MAP.md	0e3d3f1ed0a3302afb237cc2e26f20d4dc395ab9215236afb3fffbd51c2d0d58	2	2	KEEP_QUARANTINE_DUPLICATE	ARCHIVE_LRPT_MONOLITH_20260219/map/OS_DEV_MAP.md	high	Exact duplicate exists in canonical/active surface.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/PUBLIC_SHARE_PROTOCOL.md	730bc48b40e4e07a3086e2e604b5a5c4990ec1b53c4d32f18ec548dd9c51e244	4	4	KEEP_QUARANTINE_DUPLICATE	ARCHIVE_LRPT_MONOLITH_20260219/protocol/PUBLIC_SHARE_PROTOCOL.md	high	Exact duplicate exists in canonical/active surface.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/RADRILONIUMA_MANIFESTO.md	529d69d3195ca8201f8a4a83a8b68442ea2f9902896cb3698515698e9ea97759	2	2	KEEP_QUARANTINE_DUPLICATE	RADRILONIUMA_MANIFESTO.md	high	Exact duplicate exists in canonical/active surface.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/ROADMAP_MAP.md	a949a28aa20e7418eea6a353c5be4ab363d994405b32e515f638281884059d46	2	2	KEEP_QUARANTINE_DUPLICATE	ARCHIVE_LRPT_MONOLITH_20260219/map/ROADMAP_MAP.md	high	Exact duplicate exists in canonical/active surface.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/SYSTEM_STATE_CONTRACT.md	e154be15f9dbc88f2b066090304e53f2c460cce16326b3862992e744ecc5a247	5	5	KEEP_QUARANTINE_DUPLICATE	ARCHIVE_LRPT_MONOLITH_20260219/contract/SYSTEM_STATE_CONTRACT.md	high	Exact duplicate exists in canonical/active surface.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/TASK_MAP.md	b757d94a2f0809b0e1fd82fc2881236e8f8e12b2acdfd13cfd61d76772b06175	3	1	KEEP_QUARANTINE_DUPLICATE	ARCHIVE_LRPT_MONOLITH_20260219/map/TASK_MAP.md	high	Exact duplicate exists in canonical/active surface.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/TOOLING_ERROR_ANALYSIS_PREVIOUS_COMMAND.md	ab69bed2f9c0fa389c5329adbbd63e93115eb9f12cd3cfce9fd69470be858ee7	0	0	REVIEW_RESTORE_REQUIRED	gov/TOOLING_ERROR_ANALYSIS_PREVIOUS_COMMAND.md	medium	No direct match found; semantic placement review required.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/TOOL_EXECUTION_SAFETY_PROTOCOL_V2.md	f9fed6e1e12aa0c0a8cc745e29e2930b4065b1a2e94869df8fa6efbad793d62e	4	4	KEEP_QUARANTINE_DUPLICATE	gov/TOOL_EXECUTION_SAFETY_PROTOCOL_V2.md	high	Exact duplicate exists in canonical/active surface.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/TOPOLOGY_MAP.md	e5d4cdd9ed8753a68dbe216f92606098864b2ef65a4c7d4d30dc2924018d83d3	2	2	KEEP_QUARANTINE_DUPLICATE	ARCHIVE_LRPT_MONOLITH_20260219/map/TOPOLOGY_MAP.md	high	Exact duplicate exists in canonical/active surface.
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/WORKFLOW_SNAPSHOT_CONTRACT.md	f0ea91cf5f12f6bcba73e942e23c34d9198a8e1cdee99b39b845b5453fbe14db	5	5	KEEP_QUARANTINE_DUPLICATE	ARCHIVE_LRPT_MONOLITH_20260219/contract/WORKFLOW_SNAPSHOT_CONTRACT.md	high	Exact duplicate exists in canonical/active surface.
